index,keyword,partofspeech,hanzi
843,Scrutinize,,察
844,Scrub,,擦
845,Wherefore,n.,由
846,Take Out,,抽
847,Oil,,油
848,First,,甲
849,Pawn,,押
850,Express,v.,申
851,Extend,,伸
852,Gods,,神
853,Fruit,,果
854,Lesson,,課
855,Granule,,顆
856,Catty,n.,斤
857,Place,n.,所
858,Near,,近
859,Hew,,斬
860,Temporary,,暫
861,Gradually,,漸
862,Quality,n.,質
863,Reprimand,v.,斥
864,Accuse,,訴
865,For the First Time,,乍
866,How?,,怎
867,Yesterday,,昨
868,Do,,作
869,Snow,n.,雪
870,Anxious,,急
871,Seek,,尋
872,Married Woman,,婦
873,Sweep,,掃
874,Record,v.,錄
875,Commonplace,adj.,碌
876,Contend,,爭
877,Clean,adj.,淨
878,Matter,,事
879,Tang,,唐
880,Sugar,,糖
881,Hale,adj.,康
882,Overseer,,尹
883,Queen Elizabeth,,伊
884,Monarch,,君
885,Skirt,n.,裙
886,Crowd,n.,群
887,And,,而
888,Need,v.,需
889,Confucian,,儒
890,Auspicious,,瑞
891,Upright,,端
892,Bent,,曲
893,Big Dipper,,斗
894,Material,&nbsp;n.,料
895,Academic Discipline,,科
896,Utilize,,用
897,Times Past,,昔
898,Borrow,,借
899,Mistaken,,錯
900,Scattered,,散
901,Scatter,,撒
902,Prepare,,備
903,Twenty,,廿
904,Mat,,席
905,Degrees,,度
906,Ferry,n./v.,渡
907,Half,n./adj.,半
908,Partner,,伴
909,Fat,adj.,胖
910,Judge,v.,判
911,Dependents,,眷
912,Boxing,n.,拳
913,Victory,,勝
914,Slice,n.,片
915,Printing Plate,,版
916,Put On Makeup,,妝
917,Robust,,壯
918,Hamlet,,莊
919,Attire,n.,裝
920,General,,將
921,Of,,之
922,Weary,,乏
923,Blink,v.,眨
924,No,,不
925,Negate,,否
926,Cup,,杯
927,Dart,n.,矢
928,Tribe,,族
929,Know,,知
930,Wisdom,,智
931,Spear,n.,矛
932,Gentle,,柔
933,Knead,,揉
934,Tasks,,務
935,Fog,,霧
936,Bestow,,予
937,Preface,n.,序
938,Beforehand,,預
939,Wild,adj.,野
940,Class,n.,班
941,Bow,n.,弓
942,Draw,v.,引
943,Strong,,強
944,Weak,,弱
945,Bullet,,彈
946,Buddha,,佛
947,Expense,,費
948,Younger Brother,,弟
949,No.,,第
950,Adroit,,巧
951,Somebody,,身
952,Shoot,v.,射
953,Thank,,謝
954,Old Man,,老
955,Take an Exam,,考
956,Roast,v.,烤
957,Filial Piety,,孝
958,Teach,,教
959,Someone,,者
960,-ing,,著
961,Pig,,豬
962,Chase,,追
963,Commander,,帥
964,Teacher,,師
965,Lion,,獅
966,Bureaucrat,,官
967,Pipe,,管
968,Father,,父
969,Mingle,,交
970,Effect,n.,效
971,Relatively,,較
972,School,n.,校
973,Lower Leg,,足
974,Run,v.,跑
975,Jump,v.,跳
976,Path,,路
977,Dew,,露
978,Skeleton,,骨
979,Slippery,,滑
980,Cross,v.,過
981,Apollo,,阿
982,aah!,,啊
983,Occasion,,際
984,Perilous,,險
985,As You Wish,,隨
986,Yang,,陽
987,Exhibit,v.,陳
988,Ward Off,,防
989,Attach,,附
990,Inst.,,院
991,Battle Formation,,陣
992,Team,,隊
993,Descend,,降
994,Stairs,,階
995,Hole,,穴
996,Research,v.,究
997,Abruptly,,突
998,Empty,,空
999,Control,v.,控
1000,Border,,邊
1001,Deep,,<div>深</div>
1002,Spy,n.,探
1003,Hill,,丘
1004,Troops,,兵
1005,Silk,,絲
1006,Line,n.,線
1007,Maintain,,維
1008,Silk Gauze,,羅
1009,Continue,,續
1010,Continuum,,統
1011,Give,,給
1012,Tie,v.,結
1013,End,n.,終
1014,Rank,n.,級
1015,Epoch,,紀
1016,Red,,紅
1017,Make an Appointment,,約
1018,Fine,adj.,細
1019,Tight,,緊
1020,Weave,v.,織
1021,Net,n.,網
1022,Green,,綠
1023,Curved,adj.,彎
1024,Bay,,灣
1025,Be Enamored Of,,戀
1026,Change,v.,變
1027,Scripture,,經
1028,Lightweight,adj.,輕
1029,Behind,,後
1030,How Many?,,幾
1031,Machine,,機
1032,Sever,,斷
1033,Carry On,,繼
1034,Obvious,,顯
1035,Music,,樂
1036,Medicine,,藥
1037,Chicken,,雞
1038,(suffix),,麼
1039,Lineage,,系
1040,Relate To,,係
1041,Grandchild,,孫
1042,Withdraw,,卻
1043,Foot,,腳
1044,Apparel,,服
1045,Fate,,命
1046,Stay,v.,留
1047,Slide,v.,溜
1048,Chat,v.,聊
1049,Willow,,柳
1050,Orders,n.,令
1051,Cold,,冷
